------------------||App started||31.08.2020 20:42:08||-----------------terrain generation: 14;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Marching Cubes; 208;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Smoothing; 9580;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
render: 9;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
------------------||App started||31.08.2020 20:43:02||-----------------terrain generation: 53;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 2254;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 20:43:20||-----------------terrain generation: 13;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Marching Cubes; 214;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Smoothing; 4748;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
render: 8;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
------------------||App started||31.08.2020 20:44:15||-----------------terrain generation: 15;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Marching Cubes; 220;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Smoothing; 9498;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
render: 8;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
------------------||App started||31.08.2020 20:44:59||-----------------terrain generation: 60;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 2285;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 103166;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 27;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 20:47:35||-----------------terrain generation: 51;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 2259;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 48865;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 26;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 20:52:06||-----------------terrain generation: 14;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 217;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 4757;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:09:15||-----------------------------------||App started||31.08.2020 21:11:21||-----------------------------------||App started||31.08.2020 21:11:21||-----------------------------------||App started||31.08.2020 21:11:21||-----------------------------------||App started||31.08.2020 21:11:21||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 15276;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 19560;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:17:43||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 27;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 443;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:21:15||-----------------------------------||App started||31.08.2020 21:21:15||-----------------------------------||App started||31.08.2020 21:21:15||-----------------------------------||App started||31.08.2020 21:21:15||-----------------------------------||App started||31.08.2020 21:21:15||-----------------------------------||App started||31.08.2020 21:21:15||-----------------terrain generation: 11;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 12;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 165;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:22:32||-----------------terrain generation: 1;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 32
Marching Cubes; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 32
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 32
------------------||App started||31.08.2020 21:22:52||-----------------terrain generation: 8;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 26;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:23:40||-----------------------------------||App started||31.08.2020 21:23:40||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 15;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 1;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:24:42||-----------------terrain generation: 9;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 23;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 1;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:27:41||-----------------------------------||App started||31.08.2020 21:27:41||-----------------------------------||App started||31.08.2020 21:27:41||-----------------------------------||App started||31.08.2020 21:27:41||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 67;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:35:21||-----------------------------------||App started||31.08.2020 21:47:32||-----------------terrain generation: 5;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 23;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:48:12||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 21;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||31.08.2020 21:49:20||-----------------terrain generation: 6;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 8;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 1;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
